number,id,country,Country__colour,location,locImputation,nonJitLat,nonJitLong,latitude,longitude,collection_date,dateImputation,year,month,day
1,EBOV|20140008|KR653251|SLE|Kenema|2014-08-22,SLE,#8392b5,Kenema,,7.858614095,-11.18956765,7.790259777,-11.22500302,2014-08-22,,2014,8,22
2,EBOV|20140024|KR653252|SLE|PortLoko|2014-08-20,SLE,#8392b5,PortLoko,,8.685188747,-12.53675216,8.656462445,-12.538551,2014-08-20,,2014,8,20
3,EBOV|20140038|KR653267|SLE|Tonkolili|2014-08-23,SLE,#8392b5,Tonkolili,,8.465489914,-12.21193614,8.424763876,-12.21726922,2014-08-23,,2014,8,23
4,EBOV|20140091|KR653239|SLE|WesternRural|2014-08-22,SLE,#8392b5,WesternRural,,8.44632216,-13.16852491,8.408202778,-13.1496277,2014-08-22,,2014,8,22
5,EBOV|20140100|KR653241|SLE|Pujehun|2014-08-24,SLE,#8392b5,Pujehun,,7.355845654,-11.72051726,7.350490502,-11.7520563,2014-08-24,,2014,8,24
6,EBOV|20140134|KR653227|SLE|Bombali|2014-08-26,SLE,#8392b5,Bombali,,8.891023958,-12.04188912,8.908954621,-12.05495207,2014-08-26,,2014,8,26
7,EBOV|20140161|KR653265|SLE|Kailahun|2014-08-27,SLE,#8392b5,Kailahun,,7.990787947,-10.84492563,8.014160864,-10.7958557,2014-08-27,,2014,8,27
8,EBOV|20140174|KR653294|SLE|WesternUrban|2014-08-27,SLE,#8392b5,WesternUrban,,8.474419624,-13.26196681,8.456939201,-13.3212838,2014-08-27,,2014,8,27
9,EBOV|20140254|KR653296|SLE|Bo|2014-08-29,SLE,#8392b5,Bo,,7.958802893,-11.736966,7.988310718,-11.75741265,2014-08-29,,2014,8,29
10,EBOV|201403007|KP178538|LBR|?|2014-08-03,LBR,#de8461,Montserrado,IMPUTED,6.307004459,-10.70279027,6.305226639,-10.67188092,2014-08-03,,2014,8,3
11,EBOV|20140395|KR653279|SLE|Kono|2014-09-02,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.667233626,-11.03940575,2014-09-02,,2014,9,2
12,EBOV|20140433|KR653246|SLE|Tonkolili|2014-09-03,SLE,#8392b5,Tonkolili,,8.465489914,-12.21193614,8.490185653,-12.26573472,2014-09-03,,2014,9,3
13,EBOV|20140436|KR653287|SLE|Moyamba|2014-09-03,SLE,#8392b5,Moyamba,,8.110964229,-12.07306903,8.058318704,-12.04242112,2014-09-03,,2014,9,3
14,EBOV|20140489|KR653235|SLE|Kenema|2014-09-04,SLE,#8392b5,Kenema,,7.858614095,-11.18956765,7.79034108,-11.21944382,2014-09-04,,2014,9,4
15,EBOV|20140517|KR653263|SLE|Kailahun|2014-09-05,SLE,#8392b5,Kailahun,,7.990787947,-10.84492563,8.041925174,-10.83482052,2014-09-05,,2014,9,5
16,EBOV|20140590|KR653278|SLE|Kenema|2014-09-07,SLE,#8392b5,Kenema,,7.858614095,-11.18956765,7.850190845,-11.17793679,2014-09-07,,2014,9,7
17,EBOV|20140729|KR653286|SLE|Bo|2014-09-10,SLE,#8392b5,Bo,,7.958802893,-11.736966,7.954879303,-11.7517835,2014-09-10,,2014,9,10
18,EBOV|20140872|KR653297|SLE|WesternUrban|2014-09-15,SLE,#8392b5,WesternUrban,,8.474419624,-13.26196681,8.431276717,-13.25748482,2014-09-15,,2014,9,15
